date,open,close,high,low,volume
2021-04-21,287.200,282.200,292.000,280.600,28467362.00
2021-04-22,288.400,292.000,292.600,283.800,27941527.00
2021-04-23,293.000,306.400,311.400,292.000,32455805.00
2021-04-26,310.000,305.000,321.600,303.400,30584797.00
2021-04-27,300.000,313.000,319.000,296.400,43285503.00
2021-04-28,309.800,309.400,311.600,306.200,12079410.00
2021-04-29,313.000,309.200,314.800,304.000,16583681.00
2021-04-30,304.000,298.000,305.000,297.200,15334320.00
2021-05-03,297.400,293.200,297.800,290.000,10072434.00
2021-05-04,293.200,291.800,295.600,290.600,9074489.00
2021-05-05,288.000,287.000,293.800,285.600,12284824.00
2021-05-06,285.400,285.800,293.600,280.000,19249251.00
2021-05-07,288.000,282.800,290.400,279.200,19379263.00
2021-05-10,280.000,262.800,280.000,255.000,73924579.00
2021-05-11,250.200,249.000,252.000,240.000,63727234.00
2021-05-12,251.000,255.200,262.600,251.000,32343072.00
2021-05-13,247.600,251.600,257.000,245.000,21199638.00
2021-05-14,245.200,244.000,251.000,242.200,28110988.00
2021-05-17,246.400,254.200,256.000,244.600,27285020.00
2021-05-18,255.800,260.000,261.800,255.800,17873111.00
2021-05-20,256.200,273.200,276.800,255.000,36907302.00
2021-05-21,280.000,275.200,280.800,267.200,20946889.00
2021-05-24,276.800,271.000,279.000,265.200,14192265.00
2021-05-25,270.000,276.600,278.200,265.800,14353423.00
2021-05-26,277.200,279.600,290.000,277.200,17575426.00
2021-05-27,279.600,271.800,279.600,265.200,29857723.00
2021-05-28,272.600,265.200,274.400,263.000,16971893.00
2021-05-31,276.200,294.000,294.800,271.600,44006174.00
2021-06-01,296.200,313.000,315.200,294.400,41772699.00
2021-06-02,312.000,311.800,313.400,304.000,24252954.00
2021-06-03,311.800,307.400,321.000,305.600,23234022.00
2021-06-04,297.800,302.200,311.000,297.800,40645528.00
2021-06-07,302.600,300.000,305.400,296.600,27170971.00
2021-06-08,300.000,297.000,303.600,293.000,13395646.00
2021-06-09,295.800,293.200,298.800,290.800,10810536.00
2021-06-10,295.200,298.000,305.200,291.200,14448149.00
2021-06-11,302.600,307.200,311.800,300.000,18599815.00
2021-06-15,307.000,302.400,311.000,299.000,13806094.00
2021-06-16,299.400,288.800,301.600,287.400,19770810.00
2021-06-17,285.000,290.000,294.200,283.400,12109734.00
2021-06-18,297.600,300.600,304.400,294.400,17708557.00
2021-06-21,296.800,301.800,303.200,292.800,12340521.00
2021-06-22,302.800,292.800,303.800,292.000,12894472.00
2021-06-23,295.800,308.000,309.400,292.600,19408354.00
2021-06-24,310.000,315.000,319.600,310.000,20689334.00
2021-06-25,317.000,330.000,333.000,315.400,31517759.00
2021-06-28,333.000,328.600,338.000,325.200,12324384.00
2021-06-29,329.600,323.800,331.800,322.000,15304408.00
2021-06-30,329.000,320.400,329.200,317.600,13672818.00
2021-07-02,318.200,304.000,318.600,300.400,23363439.00
2021-07-05,300.200,287.000,300.800,280.000,38091180.00
2021-07-06,287.000,289.800,292.800,277.000,19388472.00
2021-07-07,287.000,286.000,287.800,279.200,15809580.00
2021-07-08,281.800,267.600,283.800,265.800,43323881.00
2021-07-09,264.200,279.200,285.400,258.000,46931905.00
2021-07-12,287.000,285.200,291.400,281.800,22668759.00
2021-07-13,284.000,295.000,302.000,280.800,25187613.00
2021-07-14,293.000,290.000,294.800,281.600,24001923.00
2021-07-15,289.400,290.400,294.800,287.200,13427920.00
2021-07-16,287.600,290.800,295.600,284.200,12235819.00
2021-07-19,284.800,276.200,285.000,272.000,23214788.00
2021-07-20,272.400,275.200,279.800,271.600,14740972.00
2021-07-21,271.600,270.200,274.000,266.400,21252300.00
2021-07-22,273.800,279.800,281.800,272.400,17738480.00
2021-07-23,280.400,273.200,280.800,270.800,15386626.00
2021-07-26,259.200,235.600,265.000,232.400,82759612.00
2021-07-27,235.600,194.000,235.600,194.000,165740968.00
2021-07-28,196.800,208.600,217.600,190.400,127665813.00
2021-07-29,230.600,228.400,231.400,220.200,89287107.00
2021-07-30,219.000,215.000,220.600,204.600,49329194.00
2021-08-02,217.000,216.000,219.600,205.000,25875297.00
2021-08-03,218.600,211.600,218.600,199.800,30559039.00
2021-08-04,208.800,213.600,223.600,204.000,27873850.00
2021-08-05,213.600,211.200,220.000,208.400,17599873.00
2021-08-06,220.400,213.800,220.400,205.000,18318848.00
2021-08-09,212.000,220.400,230.800,209.800,30191591.00
2021-08-10,226.000,239.000,241.000,225.000,41723449.00
2021-08-11,236.000,237.200,243.000,232.600,24673817.00
2021-08-12,233.000,236.600,244.400,233.000,25626912.00
2021-08-13,232.000,233.400,238.800,230.600,16019697.00
2021-08-16,231.000,221.400,234.600,217.000,27143724.00
2021-08-17,217.600,213.600,224.000,211.000,22502996.00
2021-08-18,219.000,218.200,225.600,211.800,27194037.00
2021-08-19,217.400,202.600,222.600,200.000,36878005.00
2021-08-20,200.000,193.400,200.400,183.200,54748972.00
2021-08-23,200.000,195.400,203.600,190.000,32157538.00
2021-08-24,200.400,221.800,224.200,200.400,43795211.00
2021-08-25,231.800,227.000,235.800,223.400,41974276.00
2021-08-26,227.000,226.800,231.000,221.000,17311459.00
2021-08-27,226.800,225.000,234.400,224.000,21087902.00
2021-08-30,229.000,228.400,231.000,221.400,19898069.00
